NUMERO|DESCRIPCION|TIPOPARTE|ALMACEN|EXISTENCIA|COSTOUNITARIO|COSTO|PRECIO|ULTIMACOMPRA|ULTIMAVENTA|FECHAALTA|CLASIFICACION
934009FM0A          |COMPUERTA TRASE               |REFACCI                       |VILLAHERM      |1|23875.24|23875.24|42543.10|06/09/24|//|03/03/12|Obsoleto  |
165465RA0A          |FILTRO DE AIRE                |REFACCI                       |VILLAHERM      |6|284.20|1705.20|470.28|13/09/24|29/10/24|03/10/15|Rapido    |
0145600031          |TORNILLO SEGURO               |REFACCI                       |VILLAHERM      |19|13.83|262.77|45.00|24/06/22|18/07/22|03/01/91|Obsoleto  |
11220EL50A          |AISLADOR DE MOT               |REFACCI                       |VILLAHERM      |1|1019.84|1019.84|1435.34|30/09/24|30/09/24|03/01/06|Medio     |
40224ZP50A          |TUERCA RHIN                   |REFACCI                       |VILLAHERM      |2|36.94|73.88|168.97|06/03/17|27/05/24|03/03/07|Medio     |
226807S000          |FLUJOMETRO AIRE               |REFACCI                       |VILLAHERM      |1|2241.98|2241.98|3991.38|23/10/24|05/08/24|10/01/04|Medio     |
14035F4300          |JUNTA MULTIPLE                |REFACCI                       |VILLAHERM      |1|134.28|134.28|242.24|25/10/24|25/04/24|03/07/97|Medio     |
84994EN001          |ESCUDO GUARDAPI               |REFACCI                       |VILLAHERM      |1|30.90|30.90|61.64|03/06/24|//|03/07/07|Obsoleto  |
165460Z00J          |FILTRO AIRE HUM               |REFACCI                       |VILLAHERM      |10|105.48|1054.80|174.78|07/08/24|27/09/24|03/08/10|Rapido    |
165465RB1A          |FILTRO DE AIRE                |REFACCI                       |VILLAHERM      |21|265.01|5565.21|445.00|24/10/24|31/10/24|03/10/15|Rapido    |
310863TA1A          |VARILL-NIV/ACEI               |REFACCI                       |VILLAHERM      |2|93.21|186.42|175.87|07/06/24|03/06/24|03/01/12|Rapido    |
140363KA0A          |EMPQ/MULTIPLE E               |REFACCI                       |VILLAHERM      |1|499.85|499.85|982.76|07/03/24|08/05/24|03/10/13|Rapido    |
21200AD21A          |TERMOSTATO                    |REFACCI                       |VILLAHERM      |2|423.69|847.38|724.14|13/09/24|22/08/24|03/07/14|Rapido    |
546185RB0A          |VAR/CONECC-ESTA               |REFACCI                       |VILLAHERM      |10|143.47|1434.70|262.93|31/10/24|26/10/24|03/10/15|Rapido    |
3N3G15EF1B          |CALCOMANIA DEPO               |ACCESOR                       |VILLAHERM      |5|789.00|3945.00|1482.75|21/11/19|//|03/05/19|Obsoleto  |
3N3G15EF1C          |CALCOMANIA DEPO               |ACCESOR                       |VILLAHERM      |5|789.00|3945.00|1452.59|21/11/19|10/09/21|03/05/19|Obsoleto  |
320054JA1A          |INTERRUPTOR 4WD               |REFACCI                       |VILLAHERM      |1|464.29|464.29|862.07|21/05/24|04/06/24|03/04/14|Lento     |
255506RF5B          |INTERRUPT DIREC               |REFACCI                       |VILLAHERM      |1|979.34|979.34|1629.31|25/10/24|07/06/24|28/06/23|Lento     |
403424RB5A          |TAPON CENTRO D/               |REFACCI                       |VILLAHERM      |6|71.94|431.64|228.45|12/04/23|04/06/22|03/11/15|Obsoleto  |
825019LF1E          |CTRL/REM-APERT/               |REFACCI                       |VILLAHERM      |1|739.29|739.29|1344.83|12/08/24|22/05/24|03/03/19|Lento     |
543203SH0C          |AISLAD/MONTA/AM               |REFACCI                       |VILLAHERM      |2|1024.29|2048.58|1879.31|31/10/24|25/10/24|03/06/12|Rapido    |
769214AF1A          |RIBETE DELANTER               |REFACCI                       |VILLAHERM      |1|217.19|217.19|422.41|06/10/21|07/02/23|03/08/17|Obsoleto  |
265553BG0A          |LAMP/DIRECCIONA               |REFACCI                       |VILLAHERM      |1|1280.80|1280.80|2793.10|07/08/24|24/10/24|03/12/10|Rapido    |
30100JR50A          |DISCO DE CLUTCH               |REFACCI                       |VILLAHERM      |3|3767.04|11301.12|5788.79|24/10/24|26/09/24|03/12/11|Rapido    |
A520865F0JNW        |FILTRO DE ACEIT               |REFACCI                       |VILLAHERM      |8|65.78|526.24|93.97|16/07/24|24/10/24|08/06/24|Nuevo     |
E43025EF0D          |AMORTIGUADOR DE               |REFACCI                       |VILLAHERM      |1|1233.91|1233.91|2008.62|31/10/24|25/10/24|03/04/19|Rapido    |
112205RA0A          |AISL/MONT/MOT/I               |REFACCI                       |VILLAHERM      |1|240.88|240.88|439.66|24/10/24|17/10/24|03/09/15|Rapido    |
62022F4230          |CUBIERTA DEFENS               |REFACCI                       |VILLAHERM      |1|1317.16|1317.16|2896.55|22/07/22|01/08/22|03/06/13|Obsoleto  |
54034EB70A          |ASIENTO GOMA RE               |REFACCI                       |VILLAHERM      |2|139.20|278.40|260.34|06/09/24|02/09/24|03/08/08|Rapido    |
963025EH0A          |ESPEJO PTA IZQ                |REFACCI                       |VILLAHERM      |1|761.77|761.77|1168.10|23/10/24|13/08/24|03/10/18|Medio     |
999E4C5000          |TAPETE DE CAJUE               |ACCESOR                       |VILLAHERM      |1|1229.94|1229.94|2788.79|02/06/18|25/06/20|03/04/18|Obsoleto  |
545244KH0A          |HORQ/DEL-SUSP/S               |REFACCI                       |VILLAHERM      |1|905.07|905.07|1637.93|25/10/24|28/10/24|03/04/14|Rapido    |
NIMEXT54KHAF        |RECEPTOR DE REM               |ACCESOR                       |VILLAHERM      |1|5637.50|5637.50|7314.66|24/10/24|08/10/24|03/09/20|Rapido    |
T99A34KHVA          |KIT DE EMERGENC               |ACCESOR                       |VILLAHERM      |16|1661.85|26589.60|2400.86|17/04/24|13/06/24|03/06/22|Rapido    |
1102601M02          |ARANDELA CARTER               |REFACCI                       |VILLAHERM      |367|23.58|8653.86|43.02|31/10/24|31/10/24|03/10/85|Rapido    |
402622Y00A          |TUERC/SEG/BAL/R               |REFACCI                       |VILLAHERM      |2|50.92|101.84|112.93|29/08/23|01/04/24|03/03/12|Medio     |
144165X00A          |ESPARRAGO                     |REFACCI                       |VILLAHERM      |14|41.82|585.48|114.66|28/07/22|01/08/22|03/03/10|Obsoleto  |
24225C9901          |CLIP ARNES                    |REFACCI                       |VILLAHERM      |1|144.19|144.19|465.52|01/04/20|25/03/20|03/01/06|Obsoleto  |
226A01KT0A          |SENSOR OXIGENO                |REFACCI                       |VILLAHERM      |1|755.93|755.93|1366.38|19/08/24|17/10/24|03/06/10|Rapido    |
